pathway_id,pathway_name,question_id,original_question_text,neutral_question_text,description,debrief_link
2,Relationships,5,Do you socialise less often that you would like to?,How satisfied are you with the frequency of your social interactions? Do you socialise as often as you would like to?,Social interaction frequency,https://www.nhs.uk/every-mind-matters/lifes-challenges/maintaining-healthy-relationships-and-mental-wellbeing/
2,Relationships,7,Do you think you and your partner want the same things in your relationship or that past relationships fell apart because of this?,"How would you describe the alignment of goals and expectations in your romantic relationships (past, present, or desired future)? Have past relationships fell apart because of misaligned goals?",Alignment of relationship goals,https://www.nhs.uk/every-mind-matters/lifes-challenges/maintaining-healthy-relationships-and-mental-wellbeing/
2,Relationships,9,Do you often feel lonely or excluded?,How would you describe your sense of social connection with others? Do you ever feel lonely or excluded?,Social isolation and loneliness,https://www.nhs.uk/every-mind-matters/lifes-challenges/loneliness/
2,Relationships,10,Do you think others find you physically unattractive?,How do you perceive others' view of your physical appearance?  Do you ever worry others find you physically unattractive?,Perception of physical attractiveness,https://hampshirecamhs.nhs.uk/issue/body-image-self-esteem/
2,Relationships,13,Do you sometimes feel that others talk negatively about you behind your back?,How do you feel about others' conversations about you when you're not present? Do you sometimes feel that others talk negatively about you behind your back?,Perceptions of gossip or negative talk,https://www.nhs.uk/every-mind-matters/lifes-challenges/maintaining-healthy-relationships-and-mental-wellbeing/
3,Careers,3,"Do you feel thwarted at work, by colleagues or by organisational processes?","How would you describe your work environment and collegial relationships? Do you ever feel thwarted at work, by colleagues or by organisational processes?",Workplace obstacles and frustrations,https://www.nhs.uk/every-mind-matters/lifes-challenges/work-related-stress/
3,Careers,5,Do you fail to maintain a healthy life / work balance?,How would you describe the balance between your work and personal life? Do you maintain a healthy life/work balance?,Work-life balance,https://www.nhs.uk/every-mind-matters/lifes-challenges/work-related-stress/
3,Careers,6,Do you find your job generally boring or unsatisfying?,How engaging or fulfilling do you find your current job? Do you ever find your job generally boring or unsatisfying?,Job satisfaction,https://www.nhs.uk/every-mind-matters/lifes-challenges/work-related-stress/
3,Careers,7,Do you feel insecure in your job?,How stable do you feel your current employment situation is? Do you ever worry about losing your job?,Job security concerns,https://www.nhs.uk/every-mind-matters/lifes-challenges/work-related-stress/
3,Careers,9,Have you struggled to find the right job?,How would you describe your job search experiences? Have you struggled to find the right job?,Job search challenges,https://www.nhs.uk/every-mind-matters/lifes-challenges/work-related-stress/
3,Careers,10,Do you feel like your career progression has stalled? Do you ever feel like your career progression has stalled?,How would you describe your career progression over the past few years? ,Career advancement and progression,https://www.nhs.uk/every-mind-matters/lifes-challenges/work-related-stress/
3,Careers,11,Do you feel like you lack opportunities for development in your job?,What opportunities for professional development are available in your current role? Do you feel that they are sufficient?,Career development opportunities,https://www.nhs.uk/every-mind-matters/lifes-challenges/work-related-stress/
3,Careers,12,Do you think that you have chosen the wrong career path?,How well does your current career path align with your interests and goals? Do you ever worry you have chosen the wrong career path?,Career path satisfaction,https://www.nhs.uk/every-mind-matters/lifes-challenges/work-related-stress/
3,Careers,13,Are you overdue for promotion?,How would you describe the recognition and advancement opportunities in your workplace? Are you overdue for promotion?,Career advancement and promotion timing,https://www.nhs.uk/every-mind-matters/lifes-challenges/work-related-stress/
3,Careers,14,Do you feel your current wage/salary is insufficient to lead the lifestyle you want?,How well does your current income meet your lifestyle needs and goals? Do you feel your current wage/salary is suffcient to lead the lifestyle you want?,Wage satisfaction and lifestyle,https://www.nhs.uk/every-mind-matters/lifes-challenges/work-related-stress/
